City,State,Total_Population,Median_Income,Unemployment_Rate,Median_Age,Type,Total no. of census tracts,Total no. of disadvantaged tracts,Percentage of disadvantaged population
Abbeville city,Alabama,2572,41500,9.37,50.3,City,3,3,100
Adamsville city,Alabama,4266,44734,11.91,44,City,11,5,45.27
Alabaster city,Alabama,33373,80871,4.33,37,City,16,2,16.35
Albertville city,Alabama,21620,51095,3.06,32.9,City,9,6,86.09
Alexander city,Alabama,14515,41004,4.89,39.7,City,6,1,22.88
Aliceville city,Alabama,2199,26300,21.35,39.5,City,3,1,100
Andalusia city,Alabama,8719,41410,8.72,41.6,City,5,5,100
Anniston city,Alabama,21518,41366,7.96,41.4,City,18,13,86.34
Arab city,Alabama,8405,48391,3.89,40.8,City,5,2,76.43
Ashville city,Alabama,2309,49048,6.18,42.2,City,3,2,100
Athens city,Alabama,26686,53144,5.89,41.3,City,13,3,30.84
Atmore city,Alabama,9269,25211,13.17,38.8,City,4,4,100
Attalla city,Alabama,5885,42744,4.38,39,City,5,1,23.6
Auburn city,Alabama,65508,49028,3.78,25.2,City,27,1,10.2
Bay Minette city,Alabama,9297,39588,10.09,33.1,City,5,2,26.68
Bayou La Batre city,Alabama,2332,33750,2.67,44.2,City,3,1,43.18
Bessemer city,Alabama,26063,30284,13.8,42.4,City,22,11,69.01
Birmingham city,Alabama,210928,38832,8.33,36.2,City,117,59,56.31
Boaz city,Alabama,9587,41556,1.66,37.4,City,6,4,81.79
Brewton city,Alabama,5210,41444,7.2,39.8,City,4,2,53.94
Bridgeport city,Alabama,2235,33065,10.43,45.1,City,2,1,100
Brighton city,Alabama,2873,28906,11.75,46.5,City,5,5,100
Brundidge city,Alabama,2432,33914,11.63,45.3,City,1,1,100
Calera city,Alabama,14327,68171,0.38,32.7,City,7,0,0
Camden city,Alabama,2045,47949,4.03,35.5,City,2,0,0
Carbon Hill city,Alabama,1354,26333,5.97,38.2,City,3,3,100
Center Point city,Alabama,15971,45221,7.93,34.1,City,11,5,60.73
Centre city,Alabama,3581,36887,7.87,54.1,City,6,1,48.42
Centreville city,Alabama,2627,42041,5.48,46,City,4,0,0
Chelsea city,Alabama,13599,92917,4.9,35.4,City,10,0,0
Chickasaw city,Alabama,5757,32332,3.64,30.2,City,7,6,68.02
Childersburg city,Alabama,4872,39636,9.16,37.5,City,7,4,100
Citronelle city,Alabama,3919,43884,2.5,36,City,3,2,68.25
Clanton city,Alabama,8719,43675,8.67,40.5,City,5,1,62.65
Clay city,Alabama,9936,67854,2.28,40.7,City,11,2,22.61
Clio city,Alabama,1037,22378,12.2,37.2,City,1,1,100
Columbiana city,Alabama,4602,45759,2.15,40.4,City,4,0,0
Cordova city,Alabama,1655,30919,11.5,49.7,City,2,2,100
Creola city,Alabama,2119,52679,6.48,36.4,City,3,1,100
Cullman city,Alabama,16072,52301,3.86,41.1,City,11,1,21.77
Dadeville city,Alabama,3056,26350,31.2,44.4,City,3,2,58.11
Daleville city,Alabama,5125,35255,9.76,36.3,City,4,2,42.24
Daphne city,Alabama,26578,71105,4.42,39.5,City,9,0,0
Decatur city,Alabama,54344,49296,5.59,40.4,City,22,9,52.56
Demopolis city,Alabama,6724,32743,4.21,42.2,City,3,1,100
Dora city,Alabama,2429,50195,8.32,40,City,2,2,100
Dothan city,Alabama,68608,48377,5.86,40,City,26,12,61.79
East Brewton city,Alabama,3093,37917,12.31,34.7,City,1,0,0
Elba city,Alabama,3874,37124,9.41,47.9,City,2,2,100
Enterprise city,Alabama,28170,62182,5.87,36.2,City,11,2,26.34
Eufaula city,Alabama,11878,34713,6.13,37.1,City,6,6,100
Evergreen city,Alabama,3591,29610,10.01,35.7,City,3,3,100
Fairfield city,Alabama,10749,41439,7.93,32.4,City,7,5,100
Fairhope city,Alabama,22035,80106,5.04,42.4,City,8,1,21.33
Fayette city,Alabama,4329,30313,15,43.2,City,3,2,100
Florence city,Alabama,40652,39735,6.35,34.5,City,16,7,44.64
Foley city,Alabama,19337,48373,4.94,51.7,City,8,0,0
Fort Payne city,Alabama,14063,42200,7.85,39.7,City,6,5,90.44
Fultondale city,Alabama,9247,67325,3.18,37.6,City,8,3,100
Gadsden city,Alabama,35224,34062,7.85,40.3,City,23,16,63.75
Gardendale city,Alabama,14021,75170,2.85,38.1,City,10,3,53.73
Geneva city,Alabama,4292,38926,3.19,50.2,City,3,2,81.44
Glencoe city,Alabama,5125,61514,3.29,45,City,7,2,33.34
Good Hope city,Alabama,2870,54091,7.47,33.4,City,5,1,26.01
Graysville city,Alabama,2328,48229,12.08,45.2,City,4,2,57.29
Greensboro city,Alabama,2956,22132,11.75,35.4,City,2,0,0
Greenville city,Alabama,7478,41012,7.24,35.9,City,6,6,100
Guin city,Alabama,2684,39725,16.92,41.6,City,3,2,100
Gulf Shores city,Alabama,12550,53209,3.55,50.6,City,7,0,0
Guntersville city,Alabama,8531,50142,4.95,43.7,City,9,2,100
Haleyville city,Alabama,4139,39886,5.67,36.4,City,4,2,100
Hamilton city,Alabama,6662,38613,4.04,39.7,City,3,1,100
Hanceville city,Alabama,3377,33900,12.48,48.3,City,2,2,100
Hartford city,Alabama,2584,38642,1.81,39.8,City,1,1,100
Hartselle city,Alabama,14421,56323,3.1,40.9,City,7,1,30.64
Headland city,Alabama,4684,65278,4.04,43.3,City,2,1,21.74
Heflin city,Alabama,3453,40260,8.83,41.3,City,2,1,52.12
Helena city,Alabama,18631,89982,1.72,38,City,12,0,0
Henagar city,Alabama,2457,48281,6.99,37.5,City,4,1,100
Hokes Bluff city,Alabama,4253,53920,0.72,44.8,City,3,1,40.47
Homewood city,Alabama,25170,84418,2.73,30.6,City,13,1,6.91
Hoover city,Alabama,85386,92984,4.01,37.9,City,39,1,5.46
Hueytown city,Alabama,15446,51350,9.18,35.9,City,8,3,53.19
Huntsville city,Alabama,199845,56758,5.05,36.8,City,84,18,33.04
Indian Springs Village city,Alabama,2618,120313,2.25,44.3,City,4,0,0
Irondale city,Alabama,13068,61051,9.07,37.8,City,12,3,30.28
Jackson city,Alabama,4731,41944,12.45,44.7,City,10,4,65.78
Jacksonville city,Alabama,12796,41530,9.41,28.8,City,6,1,49.83
Jasper city,Alabama,13584,53308,5.9,36,City,9,6,87.16
Jemison city,Alabama,2658,51903,3.83,35.3,City,4,2,100
Kimberly city,Alabama,3551,93772,1.93,34.7,City,4,0,0
La Fayette city,Alabama,2922,29448,6.61,41.8,City,1,0,0
Lanett city,Alabama,6220,34785,4.19,45.6,City,4,2,55.31
Leeds city,Alabama,12555,62227,1.74,37.1,City,9,4,63.88
Lincoln city,Alabama,6805,63824,7.1,40.2,City,3,1,34.88
Linden city,Alabama,1838,33542,12.08,38.1,City,2,0,0
Lineville city,Alabama,2501,33824,3.74,49.1,City,2,2,100
Lipscomb city,Alabama,2055,35417,7.34,29.2,City,4,3,100
Livingston city,Alabama,3286,16233,6.72,21.8,City,2,0,0
Luverne city,Alabama,2742,48468,1.65,41.9,City,2,1,43.52
Madison city,Alabama,50717,94214,3.01,39.6,City,15,0,0
Marion city,Alabama,3196,24275,7.63,36.1,City,2,0,0
Midfield city,Alabama,4984,43219,9.06,39.6,City,9,8,100
Millbrook city,Alabama,16037,56722,3.33,35.9,City,8,1,7.88
Mobile city,Alabama,189994,43456,6.26,37.3,City,88,51,61.02
Monroeville city,Alabama,5812,29543,12.74,43.3,City,3,1,100
Montevallo city,Alabama,6829,38066,6.71,28.5,City,6,1,31.28
Montgomery city,Alabama,199054,49608,6.79,36,City,66,28,41.39
Moody city,Alabama,13004,66245,4.3,39.8,City,6,1,50.21
Moulton city,Alabama,3237,34227,5.52,47.7,City,2,1,54.21
Mountain Brook city,Alabama,20178,152646,1.12,42.3,City,13,0,0
Muscle Shoals city,Alabama,14379,54620,2.55,36.4,City,8,1,8.7
New Hope city,Alabama,2881,71250,6.21,34.7,City,3,0,0
Northport city,Alabama,25970,64814,5.73,33.3,City,12,2,19.1
Odenville city,Alabama,3705,75625,1.78,36.5,City,7,0,0
Oneonta city,Alabama,6550,38922,3.37,41.6,City,4,0,0
Opelika city,Alabama,30589,50488,3.8,40.7,City,16,2,38.86
Opp city,Alabama,6405,34548,8.94,47.9,City,5,4,67.84
Orange Beach city,Alabama,6130,81295,3.77,52.3,City,7,0,0
Oxford city,Alabama,21282,63156,3.43,37.3,City,14,4,45.86
Ozark city,Alabama,14350,41894,12.29,41.6,City,8,4,44.54
Pelham city,Alabama,23707,79268,2.37,40.4,City,15,1,6.92
Pell city,Alabama,14081,59536,6.52,40.3,City,9,1,100
Phenix city,Alabama,36461,41842,6.53,35.6,City,16,5,49.9
Piedmont city,Alabama,4549,43570,7.39,46,City,4,3,69.88
Pinson city,Alabama,7108,67637,3.46,35.4,City,8,2,19.4
Pleasant Grove city,Alabama,9625,64087,5.47,44.3,City,8,5,87.82
Prattville city,Alabama,36599,64613,3.14,37.3,City,13,0,0
Prichard city,Alabama,21618,30464,10.82,38.1,City,20,17,89.44
Rainbow city,Alabama,9601,48644,8.3,39.2,City,4,2,39.56
Rainsville city,Alabama,5038,38028,2.8,46.1,City,3,0,0
Red Bay city,Alabama,3125,28082,6.94,45.6,City,2,2,100
Riverside city,Alabama,2077,51813,5.03,41.9,City,3,0,0
Roanoke city,Alabama,5931,42360,6.33,45.8,City,2,1,52.16
Robertsdale city,Alabama,6776,48578,1.96,38.9,City,5,1,20.48
Russellville city,Alabama,9803,44674,3.88,31.8,City,5,5,100
Samson city,Alabama,1615,25667,11.13,43.6,City,1,1,100
Saraland city,Alabama,14561,61116,5.67,41.5,City,9,3,66.1
Satsuma city,Alabama,6163,82768,5.61,39.6,City,4,1,100
Scottsboro city,Alabama,14452,43713,3.34,42.5,City,8,3,100
Selma city,Alabama,17762,26581,13.65,36.8,City,11,8,90.81
Semmes city,Alabama,5780,52817,3.78,56.1,City,10,2,100
Sheffield city,Alabama,8925,36774,5.33,45,City,6,3,53.44
Slocomb city,Alabama,1941,38170,1.94,40.8,City,1,0,0
Smiths Station city,Alabama,5821,49470,6.73,40.3,City,7,0,0
Southside city,Alabama,8801,70306,3.83,41,City,5,0,0
Spanish Fort city,Alabama,8991,86505,1.91,36.1,City,5,0,0
Springville city,Alabama,4430,82662,0,53.6,City,4,0,0
Stevenson city,Alabama,2326,38321,0.35,42.2,City,2,0,0
Sulligent city,Alabama,1887,22159,8.17,40.5,City,1,1,100
Sumiton city,Alabama,2514,55139,5.85,46.3,City,3,2,56.86
Sylacauga city,Alabama,12132,37093,8.87,36.5,City,9,5,79.23
Talladega city,Alabama,15405,30088,11.13,39.5,City,9,8,100
Tallassee city,Alabama,4818,50313,20.17,40.5,City,3,0,0
Tarrant city,Alabama,6216,34032,7.41,37.4,City,4,3,100
Thomasville city,Alabama,3876,34261,5.95,42.2,City,4,2,100
Troy city,Alabama,18995,34603,3.78,26.3,City,9,4,100
Trussville city,Alabama,22590,104976,3.02,42.9,City,9,0,0
Tuscaloosa city,Alabama,100633,44507,7.06,29.5,City,48,13,33.62
Tuscumbia city,Alabama,8445,41131,4.18,37.8,City,6,2,35.81
Tuskegee city,Alabama,8443,28629,10.85,26.2,City,9,9,100
Union Springs city,Alabama,3465,21422,4.18,29.6,City,2,0,0
Valley city,Alabama,9195,50445,3.3,31.6,City,9,3,49.09
Valley Grande city,Alabama,3627,65682,1.08,40,City,4,1,65.76
Vernon city,Alabama,2204,31903,5,38.1,City,2,0,0
Vestavia Hills city,Alabama,34482,110478,1.73,39.9,City,21,0,0
Warrior city,Alabama,3197,34620,7.31,52.2,City,4,0,0
Weaver city,Alabama,3066,61875,10.29,35.2,City,2,0,0
Wetumpka city,Alabama,8282,46509,5.56,35.4,City,5,1,37
Winfield city,Alabama,4443,63571,3.8,42.8,City,5,3,100
York city,Alabama,2448,32135,10.9,36.9,City,1,1,100
Adak city,Alaska,188,51250,0,34.5,City,1,0,0
Akhiok city,Alaska,164,64688,29.79,50,City,1,1,100
Akiak city,Alaska,298,54375,15.38,25.4,City,1,1,100
Akutan city,Alaska,760,34583,0.9,42.7,City,1,1,100
Alakanuk city,Alaska,1063,36071,31.88,22.2,City,1,0,0
Aleknagik city,Alaska,133,44167,38.18,35.8,City,1,1,100
Allakaket city,Alaska,209,22500,24.32,26.7,City,1,1,100
Ambler city,Alaska,275,34750,27.68,29.9,City,1,1,100
Anaktuvuk Pass city,Alaska,251,61953,23.58,31.4,City,1,1,100
Anderson city,Alaska,212,103125,14.63,30.3,City,1,1,100
Angoon city,Alaska,497,41500,14.58,50.1,City,1,0,0
Aniak city,Alaska,557,58333,11.4,38.2,City,1,1,100
Anvik city,Alaska,85,46875,22.73,28.5,City,1,1,100
Atqasuk city,Alaska,135,93750,14,23.1,City,1,1,100
Bethel city,Alaska,6548,86624,9.54,30.5,City,2,2,100
Brevig Mission city,Alaska,621,42813,27.13,21.2,City,1,1,100
Buckland city,Alaska,684,49063,37.44,23,City,1,1,100
Chefornak city,Alaska,413,44375,25.53,24,City,1,1,100
Chevak city,Alaska,817,41667,11.95,30,City,1,0,0
Chignik city,Alaska,42,58750,8.33,34,City,3,1,100
Chuathbaluk city,Alaska,89,30000,33.33,26.3,City,1,1,100
Clark's Point city,Alaska,37,18000,38.46,25.8,City,1,1,100
Coffman Cove city,Alaska,220,58750,5.38,36,City,1,1,100
Cold Bay city,Alaska,123,120667,0,44.7,City,1,1,100
Cordova city,Alaska,2248,91442,0.93,35.7,City,1,0,0
Craig city,Alaska,1206,64444,7.24,40.2,City,2,2,100
Deering city,Alaska,150,40000,20,26,City,1,1,100
Delta Junction city,Alaska,1182,64792,6.24,34.5,City,1,0,0
Dillingham city,Alaska,2065,75461,6.19,30.8,City,1,1,100
Diomede city,Alaska,93,22083,5.13,23.1,City,1,1,100
Eagle city,Alaska,109,45000,34,61.5,City,2,1,100
Edna Bay city,Alaska,40,35833,0,37.5,City,1,1,100
Eek city,Alaska,550,45000,36.49,22.3,City,1,1,100
Egegik city,Alaska,51,93750,0,51.9,City,1,1,100
Ekwok city,Alaska,68,32917,26.92,52,City,1,1,100
Elim city,Alaska,220,58125,38.1,21.7,City,1,1,100
Emmonak city,Alaska,1065,43533,25.95,26.3,City,1,0,0
Fairbanks city,Alaska,31427,64397,8.33,27.9,City,11,3,21.63
False Pass city,Alaska,75,50417,0,43.6,City,1,1,100
Fort Yukon city,Alaska,473,40833,27.05,40.4,City,1,1,100
Galena city,Alaska,505,76111,7.77,34.9,City,1,1,100
Gambell city,Alaska,495,45714,38.97,25.4,City,1,1,100
Golovin city,Alaska,142,51875,6.06,26.5,City,1,1,100
Grayling city,Alaska,200,30000,23.46,30.3,City,1,1,100
Gustavus city,Alaska,493,64792,2.59,53.2,City,1,0,0
Holy Cross city,Alaska,257,25833,19.47,35.6,City,1,1,100
Homer city,Alaska,5830,61332,8.66,39.8,City,2,0,0
Hoonah city,Alaska,850,63250,14.98,51,City,1,0,0
Hooper Bay city,Alaska,875,30938,24.77,24.8,City,1,0,0
Houston city,Alaska,1952,53594,16.44,39,City,2,1,54.33
Hughes city,Alaska,56,23125,7.14,52.5,City,1,1,100
Huslia city,Alaska,275,40000,32.2,29.8,City,1,1,100
Hydaburg city,Alaska,363,38750,9.55,37.6,City,1,1,100
Kachemak city,Alaska,545,55313,3.63,43.6,City,2,0,0
Kake city,Alaska,496,59063,10.57,33.4,City,1,1,100
Kaktovik city,Alaska,178,75625,11.69,33,City,1,1,100
Kaltag city,Alaska,209,28750,28.57,48.3,City,1,1,100
Kenai city,Alaska,7799,66612,8.2,36.3,City,1,0,0
Ketchikan city,Alaska,8230,65809,7.05,37.3,City,3,0,0
Kiana city,Alaska,385,54063,28.36,23.4,City,1,1,100
King Cove city,Alaska,1147,71875,5.68,39.2,City,1,1,100
Kivalina city,Alaska,776,55938,19.93,25.7,City,1,1,100
Klawock city,Alaska,855,43929,15.83,44.5,City,1,1,100
Kobuk city,Alaska,151,38125,22.45,18.1,City,1,1,100
Kodiak city,Alaska,5983,69259,5.24,38.3,City,4,0,0
Kotlik city,Alaska,1252,47844,16.18,19.8,City,1,0,0
Kotzebue city,Alaska,3283,87000,5.74,31.4,City,1,1,100
Koyuk city,Alaska,243,29167,27.03,24.6,City,2,2,100
Koyukuk city,Alaska,52,18889,14.29,54.3,City,1,1,100
Kwethluk city,Alaska,459,43250,22.22,25.3,City,1,1,100
Larsen Bay city,Alaska,29,84583,26.67,58.4,City,1,1,100
Lower Kalskag city,Alaska,293,33250,31.25,21.5,City,1,1,100
Manokotak city,Alaska,761,42143,9.91,31.5,City,2,2,100
Marshall city,Alaska,168,22188,16,22.8,City,1,0,0
McGrath city,Alaska,231,49583,14.14,49.2,City,1,1,100
Mekoryuk city,Alaska,262,28750,16.67,39,City,1,1,100
Mountain Village city,Alaska,1055,31339,21.85,28.4,City,1,0,0
Napakiak city,Alaska,593,23542,32.73,27.2,City,1,1,100
Napaskiak city,Alaska,537,31210,33.33,21.4,City,1,1,100
Nenana city,Alaska,482,47000,8.72,31,City,1,0,0
New Stuyahok city,Alaska,570,42857,18.81,29.1,City,1,1,100
Newhalen city,Alaska,107,41607,15.22,26.3,City,1,1,100
Nightmute city,Alaska,150,48333,18.46,26,City,1,1,100
Nikolai city,Alaska,115,32083,6.45,33.6,City,1,1,100
Nome city,Alaska,3869,85268,11.57,31.3,City,1,0,0
Nondalton city,Alaska,88,60208,23.73,46.3,City,1,1,100
Noorvik city,Alaska,562,65000,21.88,27.1,City,1,1,100
North Pole city,Alaska,2969,81491,7.57,28.1,City,2,0,0
Nuiqsut city,Alaska,535,67361,13.04,26,City,1,1,100
Nulato city,Alaska,300,48077,24.24,36.5,City,1,1,100
Nunam Iqua city,Alaska,122,31667,34.09,23.3,City,1,0,0
Nunapitchuk city,Alaska,955,38705,29.2,25.2,City,1,1,100
Old Harbor city,Alaska,217,35313,21.1,25.8,City,1,1,100
Ouzinkie city,Alaska,128,33750,30.12,52,City,1,1,100
Palmer city,Alaska,7359,60156,11.92,31.5,City,3,0,0
Pelican city,Alaska,57,52188,11.36,48.1,City,1,0,0
Pilot Point city,Alaska,83,48750,0,26.9,City,1,1,100
Pilot Station city,Alaska,421,25750,27.78,22.9,City,1,0,0
Point Hope city,Alaska,660,59375,32.19,26.4,City,1,1,100
Port Alexander city,Alaska,74,49688,9.68,38.2,City,1,1,100
Port Heiden city,Alaska,62,46250,21.88,30.7,City,1,1,100
Port Lions city,Alaska,145,43750,7.41,53.8,City,1,1,100
Quinhagak city,Alaska,856,34667,32.48,24.9,City,1,1,100
Ruby city,Alaska,190,32188,7.95,27.3,City,1,1,100
Sand Point city,Alaska,1186,85833,4.79,47.3,City,1,1,100
Savoonga city,Alaska,849,48000,35.02,22,City,1,1,100
Saxman city,Alaska,328,41923,17.6,48.4,City,1,0,0
Scammon Bay city,Alaska,464,35625,35.94,19.8,City,1,0,0
Selawik city,Alaska,728,33438,33.14,23.5,City,1,1,100
Seldovia city,Alaska,164,80250,7.41,50.5,City,2,1,100
Seward city,Alaska,2812,74110,4.07,37.6,City,1,1,100
Shaktoolik city,Alaska,324,60417,33.59,26.8,City,1,1,100
Shishmaref city,Alaska,499,51111,24.86,31.6,City,1,1,100
Shungnak city,Alaska,210,60000,33.33,27.7,City,1,1,100
Soldotna city,Alaska,4705,59668,2.2,42.8,City,1,0,0
St. George city,Alaska,102,64583,9.09,39.5,City,1,0,0
St. Mary's city,Alaska,660,40625,18.49,24.5,City,1,0,0
St. Michael city,Alaska,340,42813,35.4,18.8,City,1,1,100
St. Paul city,Alaska,399,67500,5.2,41.2,City,1,0,0
Stebbins city,Alaska,620,50625,29.9,23.7,City,1,1,100
Tanana city,Alaska,173,37188,8.43,46.4,City,1,0,0
Teller city,Alaska,237,28958,18.75,28.8,City,1,1,100
Tenakee Springs city,Alaska,121,44250,0,57.5,City,1,0,0
Thorne Bay city,Alaska,447,47279,6.38,56.3,City,1,1,100
Togiak city,Alaska,910,47083,17.81,27,City,1,1,100
Toksook Bay city,Alaska,863,42500,13.38,20.9,City,1,1,100
Unalakleet city,Alaska,768,84375,9.93,37.9,City,1,1,100
Unalaska city,Alaska,4758,90938,4.23,39.5,City,1,0,0
Upper Kalskag city,Alaska,239,41250,32.18,18.9,City,1,1,100
Valdez city,Alaska,3865,93281,3.37,42,City,1,0,0
Wainwright city,Alaska,437,69167,7.94,29.9,City,1,1,100
Wales city,Alaska,222,28571,13.95,25.3,City,1,1,100
Wasilla city,Alaska,10469,62667,11.82,37.7,City,7,0,0
Whale Pass city,Alaska,101,43929,6.12,63.6,City,1,1,100
White Mountain city,Alaska,170,51875,20.73,33,City,1,1,100
Whittier city,Alaska,255,59375,15.83,41.1,City,1,0,0
Apache Junction city,Arizona,41863,46708,9.27,54.7,City,17,5,48.27
Avondale city,Arizona,86091,67886,5.51,31.6,City,24,7,25.73
Benson city,Arizona,4857,42120,4.21,50.5,City,4,2,100
Bisbee city,Arizona,5199,38467,3,56.8,City,4,3,61.96
Buckeye city,Arizona,74467,79156,4.82,33.7,City,21,5,50.84
Bullhead city,Arizona,40808,43442,7.6,51.6,City,15,7,85.35
Casa Grande city,Arizona,57318,55236,6.72,36.1,City,18,9,67.3
Chandler city,Arizona,257076,85796,4.27,36.7,City,67,4,6.28
Coolidge city,Arizona,13016,52361,12.94,34,City,7,4,79.7
Cottonwood city,Arizona,12228,37146,3.56,50.9,City,11,3,70.13
Douglas city,Arizona,16292,38446,13.12,32.9,City,6,5,100
El Mirage city,Arizona,35702,59975,5.43,32,City,9,4,45.12
Eloy city,Arizona,18306,37405,10.08,35.8,City,7,3,67.83
Flagstaff city,Arizona,73319,58685,7.73,24.9,City,23,1,11.17
Glendale city,Arizona,250290,56991,5.76,33.8,City,70,26,38.83
Globe city,Arizona,7351,56157,4.27,45.7,City,4,4,100
Goodyear city,Arizona,83519,85217,6.27,39.6,City,29,4,32.59
Holbrook city,Arizona,5073,45106,4.96,36.5,City,3,2,83.07
Kingman city,Arizona,30433,51081,6.39,42.8,City,13,4,82.54
Lake Havasu city,Arizona,55463,55887,6.19,53.5,City,20,1,30.31
Litchfield Park city,Arizona,6228,95625,2.93,47.8,City,4,0,0
Maricopa city,Arizona,50358,75229,5.17,35.9,City,16,2,24.93
Mesa city,Arizona,508918,61640,5.13,36.2,City,138,38,33.25
Nogales city,Arizona,20182,29043,11.58,36.6,City,6,6,100
Page city,Arizona,7551,63272,9.82,33.2,City,3,1,100
Peoria city,Arizona,172109,76423,4.44,40.3,City,54,7,14.84
Phoenix city,Arizona,1658422,60914,5.35,33.9,City,389,143,43.24
Prescott city,Arizona,43463,58562,6.17,59.1,City,44,1,23.09
Safford city,Arizona,9707,56602,4.61,31.7,City,6,2,33.75
San Luis city,Arizona,33875,41648,10.18,30.7,City,8,3,100
Scottsdale city,Arizona,254995,91042,3.35,47.7,City,65,2,3.38
Sedona city,Arizona,10341,57434,5.7,59.8,City,6,0,0
Show Low city,Arizona,11280,49000,7.15,40.6,City,8,0,0
Sierra Vista city,Arizona,43756,59585,6.55,36.7,City,20,6,46.31
Somerton city,Arizona,16301,52061,7.81,27.6,City,5,2,100
South Tucson city,Arizona,5692,28704,15.57,30.5,City,1,1,100
St. Johns city,Arizona,3507,60264,1.59,30.8,City,3,1,44.33
Surprise city,Arizona,139007,71192,4.73,41.9,City,41,2,8.42
Tempe city,Arizona,191607,61290,6.06,29.8,City,46,6,15.6
Tolleson city,Arizona,7340,54494,4.17,28.3,City,3,2,70.55
Tombstone city,Arizona,1205,37031,5.89,57.4,City,1,0,0
Tucson city,Arizona,545340,45227,7.52,34,City,177,63,49.84
Willcox city,Arizona,3507,35000,7.13,30.1,City,2,2,100
Williams city,Arizona,3234,55873,6.41,41.9,City,6,1,100
Winslow city,Arizona,9505,45742,5.28,34,City,7,3,80.57
Yuma city,Arizona,97428,52183,8.35,31.8,City,39,18,58.14
Adona city,Arkansas,198,28182,5.06,35.5,City,2,1,63.76
Alexander city,Arkansas,3263,51693,5.38,34.9,City,5,1,23.34
Alma city,Arkansas,5816,35352,6.91,28.2,City,3,1,100
Altheimer city,Arkansas,772,24702,0,49.8,City,1,1,100
Altus city,Arkansas,912,28047,0.73,42.8,City,1,0,0
Amity city,Arkansas,753,37721,0.32,42.1,City,1,0,0
Arkadelphia city,Arkansas,10670,31643,3.24,24.4,City,4,0,0
Arkansas city,Arkansas,487,33500,1.92,52,City,1,1,100
Ash Flat city,Arkansas,1198,29556,1.99,54,City,2,1,100
Ashdown city,Arkansas,4415,37635,12.56,37.1,City,3,1,100
Atkins city,Arkansas,3031,46733,8.56,41.8,City,3,1,100
Augusta city,Arkansas,2244,31360,10.81,45.5,City,1,1,100
Austin city,Arkansas,3698,76648,3.68,29.3,City,4,1,38.16
Bald Knob city,Arkansas,2868,31503,5.38,35.8,City,1,1,100
Barling city,Arkansas,4957,43694,2.5,40.5,City,4,0,0
Batesville city,Arkansas,10749,53974,4.08,36.4,City,6,2,66.04
Bay city,Arkansas,2341,53223,5.08,31.3,City,1,1,100
Bearden city,Arkansas,977,23197,1.7,45,City,1,0,0
Beebe city,Arkansas,8131,52068,1.63,36.5,City,3,0,0
Bella Vista city,Arkansas,28819,71258,3.68,50.6,City,8,0,0
Belleville city,Arkansas,852,56830,7.53,35.9,City,1,1,100
Benton city,Arkansas,36360,59994,3.71,37.5,City,36,0,0
Bentonville city,Arkansas,52070,84340,2.49,32,City,20,0,0
Berryville city,Arkansas,5594,42156,9.3,36.8,City,2,0,0
Bethel Heights city,Arkansas,2737,61250,0.7,28.6,City,4,0,0
Black Rock city,Arkansas,854,48375,16,33.5,City,1,1,100
Blevins city,Arkansas,396,50227,8.96,28.2,City,2,0,0
Blytheville city,Arkansas,13735,40329,12.1,36,City,7,3,60.13
Bonanza city,Arkansas,509,48173,6.85,39,City,1,0,0
Bono city,Arkansas,2449,45211,11.13,29.1,City,1,1,100
Booneville city,Arkansas,3822,37427,11.24,37.4,City,2,1,55.96
Bradford city,Arkansas,653,33676,2.41,38.8,City,1,1,100
Bradley city,Arkansas,617,25697,6.42,44.6,City,1,1,100
Branch city,Arkansas,389,28000,3.01,47.8,City,2,0,0
Briarcliff city,Arkansas,179,51500,14.67,50.1,City,2,2,100
Brinkley city,Arkansas,2661,30902,9.18,45,City,2,2,100
Brookland city,Arkansas,3491,58894,1.61,26.7,City,3,0,0
Bryant city,Arkansas,20563,71802,3.19,37.4,City,10,0,0
Bull Shoals city,Arkansas,1811,36563,5.83,60.6,City,1,0,0
Cabot city,Arkansas,26376,59167,5,35.1,City,10,1,17.64
Calico Rock city,Arkansas,2338,43375,9.32,39.3,City,1,1,100
Calion city,Arkansas,438,62940,6.86,46.2,City,1,1,100
Camden city,Arkansas,10877,37842,8.36,36.8,City,5,4,100
Cammack Village city,Arkansas,887,86429,0,33.2,City,1,0,0
Campbell Station city,Arkansas,310,65250,9.27,53,City,2,2,100
Caraway city,Arkansas,1219,47625,10.15,33.8,City,1,1,100
Carlisle city,Arkansas,2248,36202,4.33,43.6,City,1,1,100
Carthage city,Arkansas,231,34643,1.85,52.6,City,1,0,0
Cave city,Arkansas,2228,36719,2.88,32,City,3,0,0
Cave Springs city,Arkansas,4859,133981,1.04,34.8,City,6,0,0
Cedarville city,Arkansas,1688,46364,1.09,44.8,City,2,0,0
Centerton city,Arkansas,15345,85531,1.68,31.9,City,7,0,0
Charleston city,Arkansas,2483,45625,6.54,39.9,City,1,0,0
Cherokee Village city,Arkansas,4883,34806,12.35,56.8,City,3,0,0
Chidester city,Arkansas,273,18063,0,56.7,City,1,1,100
Clarendon city,Arkansas,1470,23333,9.4,43.7,City,1,1,100
Clarkedale city,Arkansas,493,113333,4.03,39.3,City,2,2,100
Clarksville city,Arkansas,9661,32842,1.38,34.9,City,3,2,70.13
